id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock,transparent
,Dark Blue,True,Brick,Rectangle,2 x 4,8.0,False,,1,
,Green,True,Brick,Rectangle,2 x 4,8.0,False,,1,
,Coral,True,Brick,Square,2 x 2,4.0,False,,1,
,Red,True,Brick,Square,2 x 2,4.0,False,,1,
,White,True,Brick,Square,2 x 2,4.0,False,,1,
,Green,True,Plate,Rectangle,2 x 4,8.0,False,,1,
,Light Green,True,Plate,Rectangle,2 x 8,16.0,False,,1,
,Orange,False,Brick,Square,2 x 2,4.0,False,,1,
,Orange,False,Plate,Rectangle,1 x 4,4.0,False,,1,
,Yellow,False,Brick,Rectangle,2 x 4,8.0,False,,1,
,Yellow,False,Brick,Rectangle,1 x 3,3.0,False,,1,
,Dark Blue,False,Brick,Rectangle,2 x 6,12.0,False,,1,
,Brown,False,Brick,Rectangle,1 x 2,2.0,False,,1,
,Red,False,Plate,Square,2 x 2,4.0,False,,1,
,Purple,False,Plate,Rectangle,4 x 6,24.0,False,,1,
,Lilac,False,Brick,Square,1 x 2,2.0,True,45.0,1,
,Orchid,False,Brick,Rectangle,2 x 2,4.0,True,45.0,1,
,Dark Grey,False,Plate,Rectangle,2 x 8,16.0,False,,1,
,Light Grey,False,Brick,Square,1 x 1,1.0,False,,1,
,Pink,False,Plate,Rectangle,2 x 3,6.0,False,,1,
,Dark Green,False,Plate,Rectangle,2 x 4,8.0,False,,1,
,Cream,False,Brick,Rectangle,2 x 3,6.0,False,,1,
,Red,False,Brick,Circle,2 x 2,4.0,False,,1,
,Black,False,Plate,Trapezium,1 x 4,4.0,False,,1,
,Black,False,Plate,Square,1 x 2,2.0,False,,1,
,Black,False,Brick,Rectangle,1 x 1,1.0,True,45.0,1,
,Dark Blue,False,Brick,Square,1 x 2,2.0,True,45.0,1,
,White,False,Plate,Circle,2 x 2,4.0,False,,1,
,Red Brown,False,Plate,Rectangle,0 x 0 ,0.0,False,,1,
,Neon Yellow,False,Plate,Square,0 x 0 ,0.0,False,,1,
,Cyan,False,Plate,Rectangle,1 x 2,2.0,False,,1,
,Denim Blue,False,Plate,Rectangle,0 x 0,0.0,False,,1,
,Ice Blue,False,Brick,Rectangle,1 x 4,4.0,False,,1,
,Capri,False,Brick,Rectangle,1 x 2,2.0,False,,1,
,Shiny Green,False,Brick,Square,0 x 0 ,0.0,True,45.0,1,
,Olive Green,False,Plate,Rectangle,1 x 2,2.0,False,,1,
,Beige,False,Plate,Trapezium,2 x 2,4.0,False,,1,
,Beige,False,Plate,Square,1 x 1,1.0,False,,1,
,Beige,False,Plate,Circle,2 x 4 + 2 x 2,12.0,False,,1,
,Bright Pink,False,Plate,Circle,1 x 1,1.0,False,,1,
,Transparent,False,Plate,Circle,0 x 0,0.0,False,,1,
,lightgreen,yes,plate,rectangle,2*4,8.0,no,0.0,yes,
,lightbrown,yes,plate,rectangle,2*8,16.0,no,0.0,yes,
,lightgreen,yes,brick,square,2*2,4.0,no,0.0,yes,
,lightpink,yes,brick,square,2*2,4.0,no,0.0,yes,
,red,yes,brick,rectangle,2*4,8.0,no,0.0,yes,
,yellow,yes,brick,square,2*2,4.0,no,0.0,yes,
,darkblue,yes,brick,rectangle,2*4,8.0,no,0.0,yes,
,darkblue,no,brick,rectangle,2*6,12.0,no,0.0,yes,
,darkblue,no,brick,rectangle,2*3,6.0,no,0.0,yes,
,red,no,brick,rectangle,2*4,8.0,no,0.0,yes,
,darkgreen,no,brick,rectangle,1*3,3.0,no,0.0,yes,
,darkpink,no,brick,rectangle,1*4,4.0,no,0.0,yes,
,yellow,no,brick,square,2*2,4.0,no,0.0,yes,
,yellow,no,brick,rectangle,1*2,2.0,no,0.0,yes,
,orange,no,brick,square,1*2,2.0,yes,45.0,yes,
,darkpurple,no,brick,rectangle,1*2,2.0,yes,45.0,yes,
,red,no,brick,rectangle,1*1,1.0,yes,45.0,yes,
,lightpurple,no,brick,square,1*1,1.0,no,0.0,yes,
,lightpink,no,brick,rectangle,1*2,2.0,no,0.0,yes,
,white,no,plate,rectangle,2*8,16.0,no,0.0,yes,
,grey,no,plate,rectangle,4*6,24.0,no,0.0,yes,
,grey,no,plate,triangle,1*4,4.0,yes,15.0,yes,
,mudbrown,no,plate,rectangle,1*4,4.0,no,0.0,yes,
,white,no,plate,rectangle,2*3,6.0,no,0.0,yes,
,black,no,plate,square,1*2,2.0,no,0.0,yes,
,lightbrown,no,plate,trapezium,2*2,4.0,no,0.0,yes,
,grey,no,plate,rectangle,2*4,8.0,no,0.0,yes,
,white,no,plate,rectangle,2*3,0.0,no,0.0,yes,
,turquoise,no,plate,rectangle,1*2,2.0,no,0.0,yes,
,lightblue,no,plate,rectangle,1*1,0.0,no,0.0,yes,
,yellow,no,plate,square,2*2,4.0,no,0.0,yes,
,darkblue,no,plate,square,1*1,1.0,no,0.0,yes,
,darkpink,no,plate,square,1*1,1.0,no,0.0,yes,
